File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
43_clusters.fa,0.1,658,320.046,251.0,126.0,0.0,905.0472440944882,2.7649505571044477,779.9833625218914,382.66869300911856
43_clusters.fa,0.12000000000000001,502,307.253,182.0,80.0,0.0,705.3456790123457,2.577369161412407,581.4701570680629,502.3479456036038
43_clusters.fa,0.14,358,301.987,122.0,58.0,0.0,483.10169491525426,2.573048738636663,411.33953488372094,704.7439886748704
43_clusters.fa,0.16,285,297.948,108.0,32.0,0.0,460.0909090909091,2.4115444989362684,332.3793103448276,885.9675227672802
43_clusters.fa,0.18,212,264.747,76.0,22.0,0.0,335.9130434782609,2.343511091901602,247.5744680851064,1191.8960732206003
43_clusters.fa,0.19999999999999998,157,305.708,57.0,16.0,0.0,250.88235294117646,2.315183558027009,187.62686567164178,1611.387873077838
43_clusters.fa,0.21999999999999997,123,318.024,39.0,12.0,0.0,180.0,2.4466474248647034,139.48453608247422,2060.222665634779
43_clusters.fa,0.23999999999999996,94,262.709,23.0,12.0,0.0,113.46153846153845,2.363476623913675,101.71022727272727,2700.5981134641997
43_clusters.fa,0.25999999999999995,74,237.521,17.0,10.0,0.0,86.36363636363636,2.2602473990298386,80.16935483870967,3439.143217749516
43_clusters.fa,0.27999999999999997,61,215.653,11.0,10.0,0.0,66.0,2.2409909461517588,64.77142857142857,4184.182675700812
43_clusters.fa,0.3,44,171.299,10.0,2.0,0.0,59.0,2.2566709857422835,47.28358208955224,5817.731424447746
43_clusters.fa,0.32,36,180.005,7.0,1.0,0.0,46.5,2.2128737170130313,38.19607843137255,7155.936984012437
43_clusters.fa,0.34,31,221.054,6.0,1.0,0.0,38.5,2.216938476783905,33.44444444444444,8353.288289806853
43_clusters.fa,0.36000000000000004,26,173.185,4.0,1.0,0.0,29.0,2.153752284132951,36.0,10005.741857300263
43_clusters.fa,0.38000000000000006,23,154.86,1.0,3.0,0.0,23.0,1.865287515989618,23.42857142857143,11382.684428578274
43_clusters.fa,0.4000000000000001,20,189.556,0.0,0.0,0.0,20.0,1.621466428829322,20.0,13158.934221428912
43_clusters.fa,0.4200000000000001,17,157.03,0.0,0.0,0.0,17.0,1.1598481274554409,17.0,15585.584365966408
43_clusters.fa,0.4400000000000001,16,141.895,0.0,0.0,0.0,16.0,1.1243825724809315,16.0,16711.3490228729
43_clusters.fa,0.46000000000000013,13,117.365,0.0,0.0,0.0,13.0,0.8916418659407601,13.0,20654.41146329791
43_clusters.fa,0.48000000000000015,13,100.17,1.0,1.0,0.0,13.0,0.186611500633758,13.238095238095237,20957.72395871522
43_clusters.fa,0.5000000000000001,9,100.293,1.0,0.0,0.0,9.0,0.09768182066582365,9.214285714285715,30305.969328746134
