File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
60_Equal_138.fasta,0.3,935,255.099,501.0,109.0,98.80555082370466,2073.636363636364,4.212860650623317,1259.434367541766,12.357219251336899
60_Equal_138.fasta,0.32,833,227.344,409.0,116.0,98.62230389333898,1546.128205128205,4.113311540968203,1081.0477001703578,13.885182736196082
60_Equal_138.fasta,0.34,748,186.655,347.0,98.0,98.4898452387178,1354.3737373737374,4.0307936513282625,944.1169642857143,15.465087142695449
60_Equal_138.fasta,0.36000000000000004,718,179.174,326.0,102.0,98.21330545509915,1232.3203883495146,3.952615925409181,896.735883424408,16.113461124154174
60_Equal_138.fasta,0.38000000000000006,665,157.193,293.0,95.0,98.22359226193235,1110.6041666666667,4.078075381639192,822.0869140625,17.398666858833316
60_Equal_138.fasta,0.4000000000000001,654,148.007,288.0,90.0,98.05694562493306,1108.1538461538462,3.8869499810656123,808.0927936821322,17.693270132811673
60_Equal_138.fasta,0.4200000000000001,615,139.773,270.0,80.0,97.76586101487757,1063.3333333333333,3.8355045130953083,756.8978102189781,18.8157614148501
60_Equal_138.fasta,0.4400000000000001,583,127.531,246.0,79.0,97.38394160491818,959.6875,3.7723506056254816,709.3171521035599,19.850455851483446
60_Equal_138.fasta,0.46000000000000013,558,122.982,226.0,80.0,96.98634893261895,871.8888888888889,3.711751134337534,669.1715210355986,20.741667483604807
60_Equal_138.fasta,0.48000000000000015,530,131.309,211.0,68.0,97.07546935266895,851.0869565217391,3.7789620242229858,629.2119205298013,21.83913522166718
60_Equal_138.fasta,0.5000000000000001,507,111.062,199.0,71.0,96.27657502359422,780.625,3.5985806567325436,600.7947247706422,22.83202985250822
60_Equal_138.fasta,0.5200000000000001,477,105.913,180.0,60.0,96.37174723372573,741.0983606557377,3.577347172882816,560.9702233250621,24.270088112898343
60_Equal_138.fasta,0.5400000000000001,461,92.574,175.0,67.0,95.66661887626078,684.8970588235294,3.498127095419674,546.6029810298103,25.115553336470494
60_Equal_138.fasta,0.5600000000000002,425,93.071,158.0,56.0,95.81889823918175,642.5964912280701,3.564186833494052,497.37138927097664,27.244977772556403
60_Equal_138.fasta,0.5800000000000002,410,88.291,150.0,54.0,95.07277912923878,613.1818181818182,3.441581555534088,480.2919708029197,28.246938970176966
60_Equal_138.fasta,0.6000000000000002,376,73.96,131.0,55.0,94.60816022484919,528.0535714285714,3.341619565384356,437.4594155844156,30.80384824194196
60_Equal_138.fasta,0.6200000000000002,354,70.88,118.0,41.0,94.42859658309821,518.3571428571429,3.424520094436881,404.2733118971061,32.72543459955351
60_Equal_138.fasta,0.6400000000000002,345,65.555,112.0,48.0,94.19844000284505,471.8571428571429,3.2260131695551952,389.47058823529414,33.58471140463639
60_Equal_138.fasta,0.6600000000000003,319,58.307,114.0,40.0,93.99095513937993,476.0975609756098,3.299943498596488,374.9378881987577,36.3247169636509
60_Equal_138.fasta,0.6800000000000003,291,51.932,95.0,36.0,93.47096584563066,411.6756756756757,3.1937773803990614,332.69772256728777,39.82929456001254
60_Equal_138.fasta,0.7000000000000003,278,46.729,95.0,32.0,92.65129926354639,413.3030303030303,3.0521190708159787,315.8942486085343,41.70442192287774
