 , , ,Set S, , , ,Sequitur, , , , , ,Lz4, , , , , ,RLE, , , , , ,CDM Sequitur, , , , , ,CDM Lz4, , , , , ,CDM RLE,,,,
Sequence #, ,Match 1, Match 3, Match 5, ,Match 1, Match 3, Match 5, , , ,Match 1, Match 3, Match 5, , , ,Match 1, Match 3, Match 5, , , ,Match 1, Match 3, Match 5, , , ,Match 1, Match 3, Match 5, , , ,Match 1, Match 3, Match 5,,,
1, ,1370,8535,7508, ,3,248,23,1/3 match,572, ,1370,8535,7508,1/3 match,619, ,1370,8535,7508,1/3 match,439, ,1370,8535,7508,1/3 match,597, ,1370,8535,598,1/3 match,673, ,11156,4007,34,1/3 match,4, 
2, ,852,1141,2584, ,3,6107,8,2/3 match,40, ,1141,5675,8107,2/3 match,532, ,852,1141,2584,2/3 match,438, ,852,1931,4544,2/3 match,596, ,1141,5675,8107,2/3 match,591, ,8629,491,5511,2/3 match,0, 
3, ,8593,3367,10439, ,2,1,8375,3/3 match,13, ,8593,41,625,3/3 match,9595, ,8593,6036,10492,3/3 match,10131, ,8593,6208,8719,3/3 match,9011, ,8593,936,6937,3/3 match,8977, ,3390,10502,2559,3/3 match,0, 
4, ,2587,927,1188, ,1,3,9708, ,691, ,1167,2587,626, ,30468, ,2587,1170,1808, ,31708, ,2587,1170,1808, ,28822, ,2587,927,1188, ,28786, ,11156,4588,3021, ,4, 
5, ,696,10534,4293, ,73,5509,1541, ,2.069110073, ,696,10534,101, ,91.23248293, ,696,10534,4293, ,94.94550246, ,696,10534,150, ,86.30374895, ,696,10534,4293, ,86.19595161, ,3390,1305,4864, ,0.011977482, 
6, ,65,153,193, ,4,5,28, , , ,65,153,193, , , ,65,153,193, , , ,65,153,193, , , ,65,153,193, , , ,11156,4588,3021, , , 
7, ,2533,5041,4090, ,3645,2,707, , , ,2533,5041,4090, , , ,2533,5041,4090, , , ,2533,5041,6858, , , ,2533,5041,6858, , , ,3390,10502,2559, , , 
8, ,231,584,1181, ,6107,269,1882, , , ,231,584,1181, , , ,231,584,1181, , , ,231,584,1181, , , ,231,584,1181, , , ,3390,10502,2559, , , 
9, ,12,21,148, ,12,1,1, , , ,12,21,148, , , ,12,21,148, , , ,12,21,148, , , ,12,21,148, , , ,841,1150,1655, , , 
10, ,1552,2894,3221, ,7,8488,629, , , ,1552,2894,3221, , , ,1552,2894,3221, , , ,1552,2894,3221, , , ,1552,2894,3221, , , ,3390,10502,2559, , , 
